current_min,time_min,current_max,time_max
10000,0.013152,4.83726,299.122
10000,0.01,4.87612,263.183
142.855,0.01,4.94981,206.201
142.855,0.01,5.121,148.985
142.855,0.01,5.3728,107.969
113.888,0.015426,5.63135,83.0838
83.8104,0.028212,5.9736,63.045
57.1691,0.060297,6.44529,47.3633
39.9816,0.122014,7.21635,32.9123
26.8505,0.271492,7.80176,26.0195
18.8367,0.55565,7.9753,22.1723
14.3607,0.98119,8.08774,17.3717
10.8237,1.86434,8.25112,13.103
8.39893,3.6803,8.46846,9.78494
7.22375,7.46265,9.78987,4.30528
6.93674,10.0041,13.2017,1.84198
6.73775,13.3145,22.4737,0.654973
6.59226,17.9043,32.0195,0.346746
6.47006,22.7008,45.5288,0.19087
6.40981,26.4195,64.1578,0.112684
6.15514,29.5345,109.546,0.057431
5.85556,34.4081,217.967,0.030162
5.45593,43.4462,390.077,0.020138
5.11008,54.7453,663.377,0.015512
4.77124,70.2763,940.435,0.013152
4.56266,87.9156,10000,0.013152
4.37683,109.982,10000,0.013152
