80k,,,
current_min,time_min,current_max,time_max
10000,0.013854,190.251,300.321
10000,0.01,192.933,253.37
3802.22,0.01,198.015,203.741
3802.22,0.01,205.89,150.483
3802.22,0.01,214.507,110.924
3106.77,0.015008,225.28,80.7897
531.84,0.495018,235.649,59.5519
489.48,0.59146,246.003,43.0709
441.573,0.742925,259.393,27.6561
410.487,0.896587,270.79,19.3529
382.353,1.08203,286.387,12.4018
361.891,1.27869,296.291,9.64891
345.621,1.50959,306.538,7.1338
321.611,1.9914,323.547,4.90298
306.538,2.50388,339.456,3.50728
295.699,3.03691,356.147,2.74791
281.559,4.02628,379.685,1.9914
272.419,5.03716,414.612,1.44028
263.05,6.52632,460.514,1.05954
256.555,8.00322,527.075,0.749641
248.973,10.0026,624.745,0.509074
240.65,12.9467,823.318,0.291953
235.413,16.0522,1061.39,0.180114
229.142,20.0824,1327.88,0.120734
223.261,25.2252,1633.27,0.085421
213.651,35.1227,1961.26,0.064109
206.922,44.4714,2366.91,0.048598
198.213,59.9702,2788.73,0.039157
194.483,71.3679,3185.42,0.033135
188.735,89.734,3756.87,0.027815
181.516,120.765,4565.76,0.023514
175.273,152.452,5712.09,0.01964
168.737,204.149,7110.59,0.016922
163.587,255.405,10000,0.013854
159.707,302.128,10000,0.013854
